S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
1.0,0.028055031022390074,0.11950364175883464,0.16509306717021852,0.21553817102778527,0.1680604262206636,0.12948475856487726,0.533585109252765,0.46641489074723497,48013960300,48,013,960300
1.0,0.03346938775510204,0.09428571428571429,0.12897959183673469,0.15959183673469388,0.17224489795918368,0.1326530612244898,0.5191836734693878,0.48081632653061224,48013960401,48,013,960401
1.0,0.046133567662565905,0.07820738137082602,0.1431239015817223,0.1678383128295255,0.16970562390158173,0.1530096660808436,0.4711115992970123,0.5288884007029877,48013960402,48,013,960402
1.0,0.04911591355599214,0.06365422396856582,0.14538310412573674,0.13516699410609037,0.2086444007858546,0.18192534381139489,0.46915520628683693,0.5308447937131631,48013960500,48,013,960500
1.0,0.058775643112992514,0.08042982741777922,0.14246173884728103,0.1955389124063823,0.14050797785737545,0.15076522305437967,0.49430153044610875,0.5056984695538912,48013960600,48,013,960600
1.0,0.03344120819848975,0.05753326141675656,0.14311398777418194,0.14527148507731033,0.19273642574613448,0.1740381157856886,0.49334771664868754,0.5066522833513125,48015760100,48,015,760100
1.0,0.046630360789652825,0.0673927842069435,0.11300204220558203,0.20302927161334242,0.17835262083049694,0.15469707283866577,0.4996596324029952,0.5003403675970047,48015760200,48,015,760200
1.0,0.038069942452412575,0.0749594215729674,0.11199645861000443,0.1745610151984654,0.21499188431459348,0.17338055186660764,0.46451232108602625,0.5354876789139738,48015760300,48,015,760300
1.0,0.04415066101272138,0.10825642304814168,0.04814168121726116,0.1554003492142679,0.2591668745323023,0.2324769269144425,0.501870790720878,0.49812920927912197,48015760400,48,015,760400
1.0,0.03759705762157744,0.05905190028606457,0.06293420514916225,0.17838169186759298,0.2296689824274622,0.22435635472006538,0.5222721700040867,0.47772782999591334,48015760501,48,015,760501
1.0,0.051041090842085864,0.11240095817210245,0.18518518518518517,0.14999078680670722,0.19108162889257416,0.18039432467293165,0.4897733554449972,0.5102266445550028,48015760502,48,015,760502
1.0,0.0871830985915493,0.10845070422535211,0.12140845070422535,0.17985915492957746,0.16126760563380282,0.1387323943661972,0.5085915492957747,0.49140845070422534,48017950100,48,017,950100
1.0,0.026405645344866835,0.035283405417709995,0.07603004780332347,0.12952424311404506,0.2688367857955839,0.30981106305486,0.4507170498520373,0.5492829501479627,48019000101,48,019,000101
1.0,0.03240973971452561,0.11368597816960538,0.06683459277917717,0.18102434928631403,0.2216624685138539,0.26213266162888327,0.5086481947942905,0.4913518052057095,48019000102,48,019,000102
1.0,0.04106194690265487,0.06619469026548673,0.08672566371681416,0.12035398230088495,0.224070796460177,0.3058407079646018,0.5246017699115044,0.4753982300884956,48019000200,48,019,000200
1.0,0.03483909064068497,0.054620608207853555,0.08754059639799232,0.1545615589016829,0.3337762031296132,0.20711544139356364,0.4924712134632418,0.5075287865367581,48019000300,48,019,000300
1.0,0.02513227513227513,0.04982363315696649,0.07142857142857142,0.18871252204585537,0.1948853615520282,0.30158730158730157,0.6018518518518519,0.39814814814814814,48019000400,48,019,000400
1.0,0.04844540853217643,0.05688117618703302,0.06688358640636298,0.18799710773680406,0.2859725234996385,0.19173294769824054,0.507471679922873,0.492528320077127,48021950100,48,021,950100
1.0,0.05046409900778833,0.0975141363490878,0.12354635655606529,0.189587111917209,0.179558305771898,0.13293502613890965,0.4809559372666169,0.5190440627333831,48021950200,48,021,950200
1.0,0.07097417986778097,0.06592241486840464,0.12292628165149058,0.18205064238493202,0.18978420855681677,0.13533740800798302,0.49482350006236747,0.5051764999376326,48021950300,48,021,950300
1.0,0.018773333333333333,0.06410666666666667,0.12842666666666666,0.21514666666666668,0.18048,0.21664,0.49461333333333335,0.5053866666666667,48021950400,48,021,950400
1.0,0.03924080111783884,0.10782487191429903,0.14741499767116908,0.2122729389846297,0.22147182114578481,0.09979040521658128,0.6018863530507685,0.39811364694923146,48021950501,48,021,950501
1.0,0.028030065768869402,0.04713435640463514,0.082680864390855,0.20059505167554023,0.2358283745693705,0.20607579079235827,0.4705606013153774,0.5294393986846226,48021950502,48,021,950502
1.0,0.046363636363636364,0.05981818181818182,0.09672727272727273,0.15509090909090908,0.28745454545454546,0.16145454545454546,0.48054545454545455,0.5194545454545455,48021950600,48,021,950600
1.0,0.02140205284996724,0.09718279100240228,0.0711945839702992,0.1991701244813278,0.20484822013540074,0.24088228870932518,0.49202882725485914,0.5079711727451408,48021950700,48,021,950700
1.0,0.04442226104317445,0.13863239331170452,0.12765160968305467,0.1970301971549788,0.17806338906912902,0.06214125280758672,0.5333166957823808,0.46668330421761917,48021950801,48,021,950801
1.0,0.061970149253731344,0.1497313432835821,0.12322388059701493,0.1466268656716418,0.18555223880597016,0.072,0.4986268656716418,0.5013731343283582,48021950802,48,021,950802
1.0,0.028235951915012582,0.08303047246295779,0.0925356443947442,0.14034106793402293,0.23315627620911378,0.24238188426055354,0.488118535085267,0.511881464914733,48023950300,48,023,950300
1.0,0.06816932380428807,0.10335349092908191,0.057724024189114896,0.22319956019791093,0.14843320505772403,0.22155030236393622,0.577240241891149,0.422759758108851,48025950100,48,025,950100
1.0,0.004752287038137104,0.09183794701199953,0.3031959130331472,0.3488178685992634,0.20232862064868717,0.020791255791849827,0.9447546631816561,0.05524533681834383,48025950201,48,025,950201
1.0,0.0511473112629182,0.06200735680504467,0.09721492380451918,0.1951304957085304,0.17568751094762655,0.1742862147486425,0.47398843930635837,0.5260115606936416,48025950202,48,025,950202
1.0,0.027972027972027972,0.14632867132867133,0.17587412587412588,0.12447552447552447,0.13916083916083916,0.1326923076923077,0.5421328671328671,0.4578671328671329,48025950300,48,025,950300
