S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
4296,253,386,635,773,940,451,2078,2218,48029161801,48,029,161801
10237,518,823,2093,2036,758,442,5151,5086,48029161802,48,029,161802
927,55,49,166,87,167,187,439,488,48029161901,48,029,161901
10698,262,1174,2340,2371,1423,1075,6525,4173,48029161902,48,029,161902
2122,93,224,264,422,337,256,965,1157,48029162001,48,029,162001
4752,328,515,541,1053,811,561,2326,2426,48029162003,48,029,162003
3446,227,388,286,835,523,320,1935,1511,48029162004,48,029,162004
3881,175,481,674,716,588,454,2088,1793,48029170101,48,029,170101
3514,107,305,469,832,811,461,1707,1807,48029170102,48,029,170102
5599,320,532,834,822,1103,821,3081,2518,48029170200,48,029,170200
6455,272,1092,720,1040,1017,881,3396,3059,48029170300,48,029,170300
4298,187,297,599,781,646,562,1871,2427,48029170401,48,029,170401
5394,270,482,811,1020,1000,684,2739,2655,48029170402,48,029,170402
4648,119,363,989,596,778,775,2397,2251,48029170500,48,029,170500
4591,189,488,848,1025,634,749,2359,2232,48029170600,48,029,170600
5057,259,583,646,1185,811,627,2513,2544,48029170700,48,029,170700
1740,69,205,175,371,309,186,888,852,48029170800,48,029,170800
3696,152,310,443,714,623,897,1715,1981,48029170900,48,029,170900
6221,273,555,1044,1039,966,649,3035,3186,48029171000,48,029,171000
3736,247,400,215,836,894,536,1871,1865,48029171100,48,029,171100
4065,246,402,464,782,738,572,1923,2142,48029171200,48,029,171200
2858,232,269,529,494,429,427,1426,1432,48029171301,48,029,171301
4998,164,1544,482,570,728,787,2217,2781,48029171302,48,029,171302
4986,314,499,855,1100,683,241,2623,2363,48029171401,48,029,171401
6610,199,641,1102,1197,1044,690,3047,3563,48029171402,48,029,171402
2609,72,313,310,432,514,327,1459,1150,48029171501,48,029,171501
5062,214,317,1084,982,897,742,2708,2354,48029171502,48,029,171502
4412,196,423,818,670,608,367,2047,2365,48029171601,48,029,171601
4590,123,635,850,543,587,366,2125,2465,48029171602,48,029,171602
9093,417,1108,1064,2044,1122,1115,4268,4825,48029171700,48,029,171700
6037,215,697,704,1383,901,696,3047,2990,48029171801,48,029,171801
6400,214,871,855,1464,1065,845,3168,3232,48029171802,48,029,171802
13145,713,1228,3730,2290,1870,406,6635,6510,48029171902,48,029,171902
7351,207,651,1007,1407,1253,1074,3635,3716,48029171903,48,029,171903
7934,419,601,1591,1844,1123,681,3765,4169,48029171912,48,029,171912
6309,413,519,1116,949,1255,616,3286,3023,48029171913,48,029,171913
5902,240,763,671,1242,1243,608,2768,3134,48029171914,48,029,171914
2322,130,239,202,440,317,437,1063,1259,48029171915,48,029,171915
9099,375,954,1336,2031,1328,717,4132,4967,48029171916,48,029,171916
10128,704,949,1396,2462,1402,706,5496,4632,48029171917,48,029,171917
6151,248,726,1275,1473,919,341,3099,3052,48029171918,48,029,171918
5333,348,482,1201,1061,356,223,2796,2537,48029171919,48,029,171919
9402,355,1301,1461,1705,1398,745,4672,4730,48029171920,48,029,171920
4593,278,473,593,990,846,346,2167,2426,48029171921,48,029,171921
3505,269,376,609,797,347,137,1701,1804,48029171922,48,029,171922
10263,353,943,2186,2071,1814,867,4359,5904,48029171923,48,029,171923
7856,246,1152,1848,1704,889,465,3560,4296,48029171924,48,029,171924
10228,392,902,1438,2346,1625,1170,5214,5014,48029171925,48,029,171925
18624,613,1370,3645,4116,1822,1311,9303,9321,48029172002,48,029,172002
5195,234,553,790,1073,808,299,2435,2760,48029172003,48,029,172003
7580,135,851,728,1526,1185,1317,3800,3780,48029172004,48,029,172004
9060,168,929,1475,1992,1048,728,4124,4936,48029172005,48,029,172005
9694,382,623,1614,2100,1245,820,4816,4878,48029172006,48,029,172006
11073,829,1053,1432,2746,1458,666,5103,5970,48029172007,48,029,172007
5257,223,421,688,1180,1122,807,2769,2488,48029180101,48,029,180101
1874,44,65,346,386,381,409,1008,866,48029180102,48,029,180102
5372,146,555,678,1041,1151,857,2908,2464,48029180201,48,029,180201
5000,285,366,748,937,829,1148,2177,2823,48029180202,48,029,180202
5207,250,395,651,1000,1076,576,2612,2595,48029180300,48,029,180300
4709,246,656,495,890,598,416,2097,2612,48029180400,48,029,180400
4628,140,399,595,858,933,1102,2403,2225,48029180501,48,029,180501
4849,242,477,567,1065,904,745,2225,2624,48029180503,48,029,180503
4868,234,329,811,707,767,745,2279,2589,48029180504,48,029,180504
3751,147,137,545,583,791,925,1637,2114,48029180602,48,029,180602
2386,65,212,467,339,369,265,1033,1353,48029180603,48,029,180603
6812,182,749,1197,1261,1132,800,3286,3526,48029180604,48,029,180604
3971,54,456,842,874,834,601,1954,2017,48029180701,48,029,180701
6892,256,804,1198,1165,1002,1112,3255,3637,48029180702,48,029,180702
2842,60,283,513,627,691,351,1549,1293,48029180800,48,029,180800
5890,273,547,1048,1186,1074,749,3060,2830,48029180901,48,029,180901
7969,351,962,999,1669,1459,1114,3526,4443,48029180902,48,029,180902
3393,127,279,397,568,706,618,1463,1930,48029181001,48,029,181001
8338,296,876,2939,1144,924,464,5047,3291,48029181003,48,029,181003
5392,67,520,1655,1369,419,335,2745,2647,48029181004,48,029,181004
4177,193,653,1040,812,421,248,2423,1754,48029181005,48,029,181005
6359,281,565,620,998,1350,1399,2994,3365,48029181100,48,029,181100
5335,329,458,560,1159,1222,1086,2901,2434,48029181200,48,029,181200
4536,253,357,1224,937,444,506,2213,2323,48029181301,48,029,181301
6523,258,1166,1324,1115,1241,741,3283,3240,48029181302,48,029,181302
